millis,gain_hex,conv_hex,gain_x,conv_ms,uva_raw,uvb_raw,uvc_raw,uva_mw,uvb_mw,uvc_mw,temp_c
19293983,0xB,0x0,1,1,3,1,1,1020.000000,378.000000,166.000000,30.800
19293996,0xB,0x1,1,2,5,1,1,850.000000,189.000000,83.000000,30.900
19294009,0xB,0x2,1,4,9,1,1,765.000000,94.500000,41.500000,30.850
19294028,0xB,0x3,1,8,17,1,1,722.500000,47.250000,20.750000,30.850
19294058,0xB,0x4,1,16,33,1,1,701.250000,23.625000,10.375000,30.800
19294106,0xB,0x5,1,32,66,1,2,701.250000,11.812500,10.375000,30.850
19294188,0xB,0x6,1,64,131,1,3,695.937500,5.906250,7.781250,30.850
19294338,0xB,0x7,1,128,263,2,5,698.593750,5.906250,6.484375,30.850
19294631,0xB,0x8,1,256,528,4,10,701.250000,5.906250,6.484375,30.850
19295204,0xB,0x9,1,512,1057,7,18,701.914063,5.167969,5.835938,30.900
19296342,0xB,0xA,1,1024,2117,14,36,702.910095,5.167969,5.835938,30.950
19298607,0xB,0xB,1,2048,4222,26,71,700.918030,4.798828,5.754883,31.000
19303131,0xB,0xC,1,4096,8394,52,142,696.767578,4.798828,5.754883,31.000
19312164,0xB,0xD,1,8192,16451,104,283,682.780762,4.798828,5.734619,31.100
19330216,0xB,0xE,1,16384,32950,207,565,683.776855,4.775757,5.724487,31.300
19331228,0xA,0x0,2,1,5,1,1,850.000000,189.000000,83.000000,31.400
19331241,0xA,0x1,2,2,9,1,1,765.000000,94.500000,41.500000,31.500
19331254,0xA,0x2,2,4,17,1,2,722.500000,47.250000,41.500000,31.500
19331273,0xA,0x3,2,8,33,1,2,701.250000,23.625000,20.750000,31.500
19331303,0xA,0x4,2,16,66,1,2,701.250000,11.812500,10.375000,31.450
19331351,0xA,0x5,2,32,131,2,3,695.937500,11.812500,7.781250,31.500
19331432,0xA,0x6,2,64,260,3,6,690.625000,8.859375,7.781250,31.500
19331581,0xA,0x7,2,128,519,4,10,689.296875,5.906250,6.484375,31.500
19331874,0xA,0x8,2,256,1039,7,19,689.960938,5.167969,6.160156,31.500
19332447,0xA,0x9,2,512,2075,14,37,688.964905,5.167969,5.998047,31.450
19333585,0xA,0xA,2,1024,4149,27,72,688.798828,4.983398,5.835938,31.500
19335852,0xA,0xB,2,2048,8303,53,143,689.213867,4.891113,5.795410,31.500
19340373,0xA,0xC,2,4096,16584,104,285,688.300720,4.798828,5.775146,31.550
19349402,0xA,0xD,2,8192,33159,208,568,688.114014,4.798828,5.754883,31.550
19367451,0xA,0xE,2,16384,65535,415,1135,679.989624,4.787292,5.749817,31.650
19368464,0x9,0x0,4,1,9,1,2,765.000000,94.500000,83.000000,31.800
19368477,0x9,0x1,4,2,18,1,2,765.000000,47.250000,41.500000,31.700
19368490,0x9,0x2,4,4,34,2,3,722.500000,47.250000,31.125000,31.650
19368509,0x9,0x3,4,8,66,2,3,701.250000,23.625000,15.562500,31.650
19368539,0x9,0x4,4,16,131,2,4,695.937500,11.812500,10.375000,31.700
19368587,0x9,0x5,4,32,261,3,6,693.281250,8.859375,7.781250,31.650
19368669,0x9,0x6,4,64,521,5,11,691.953125,7.382813,7.132813,31.650
19368819,0x9,0x7,4,128,1042,8,20,691.953125,5.906250,6.484375,31.650
19369112,0x9,0x8,4,256,2082,14,37,691.289063,5.167969,5.998047,31.650
19369684,0x9,0x9,4,512,4161,27,73,690.791016,4.983398,5.916992,31.650
19370822,0x9,0xA,4,1024,8323,53,144,690.874023,4.891113,5.835938,31.700
19373084,0x9,0xB,4,2048,16647,105,286,690.915527,4.844971,5.795410,31.650
19377602,0x9,0xC,4,4096,33296,208,570,690.956970,4.798828,5.775146,31.650
19386625,0x9,0xD,4,8192,65535,415,1138,679.989624,4.787292,5.765015,31.550
19404654,0x9,0xE,4,16384,65535,829,2274,339.994812,4.781524,5.759949,31.600
19405668,0x8,0x0,8,1,18,2,3,765.000000,94.500000,62.250000,31.600
19405681,0x8,0x1,8,2,35,2,4,743.750000,47.250000,41.500000,31.600
19405694,0x8,0x2,8,4,68,3,5,722.500000,35.437500,25.937500,31.550
19405714,0x8,0x3,8,8,133,3,6,706.562500,17.718750,15.562500,31.600
19405745,0x8,0x4,8,16,263,4,8,698.593750,11.812500,10.375000,31.600
19405792,0x8,0x5,8,32,524,5,12,695.937500,7.382813,7.781250,31.600
19405874,0x8,0x6,8,64,1047,9,21,695.273438,6.644531,6.808594,31.600
19406025,0x8,0x7,8,128,2092,15,39,694.609375,5.537109,6.322266,31.600
19406318,0x8,0x8,8,256,4182,28,75,694.277405,5.167969,6.079102,31.600
19406890,0x8,0x9,8,512,8365,54,146,694.360352,4.983398,5.916992,31.550
19408028,0x8,0xA,8,1024,16725,106,289,694.152832,4.891113,5.856201,31.600
19410291,0x8,0xB,8,2048,33459,210,574,694.339600,4.844971,5.815674,31.600
19414807,0x8,0xC,8,4096,65535,418,1144,679.989624,4.821899,5.795410,31.550
19423828,0x8,0xD,8,8192,65535,833,2285,339.994812,4.804595,5.787812,31.550
19441863,0x8,0xE,8,16384,65535,1664,4565,169.997406,4.798828,5.781479,31.550
19442876,0x7,0x0,16,1,36,3,6,765.000000,70.875000,62.250000,31.600
19442889,0x7,0x1,16,2,69,4,7,733.125000,47.250000,36.312500,31.500
19442903,0x7,0x2,16,4,135,5,9,717.187500,29.531250,23.343750,31.500
19442921,0x7,0x3,16,8,266,5,11,706.562500,14.765625,14.265625,31.450
19442952,0x7,0x4,16,16,527,7,15,699.921875,10.335938,9.726563,31.500
19442999,0x7,0x5,16,32,1051,10,24,697.929688,7.382813,7.781250,31.500
19443081,0x7,0x6,16,64,2098,17,42,696.601563,6.275391,6.808594,31.500
19443231,0x7,0x7,16,128,4192,30,78,695.937500,5.537109,6.322266,31.450
19443524,0x7,0x8,16,256,8380,56,149,695.605530,5.167969,6.038574,31.500
19444096,0x7,0x9,16,512,16759,108,292,695.563965,4.983398,5.916992,31.500
19445233,0x7,0xA,16,1024,33514,212,577,695.480957,4.891113,5.846069,31.450
19447495,0x7,0xB,16,2048,65535,420,1147,679.989624,4.844971,5.810608,31.500
19452007,0x7,0xC,16,4096,65535,835,2287,339.994812,4.816132,5.792877,31.450
19461029,0x7,0xD,16,8192,65535,1667,4567,169.997406,4.807480,5.784012,31.450
19479058,0x7,0xE,16,16384,65535,3329,9128,84.998703,4.800270,5.780212,31.350
19480071,0x6,0x0,32,1,72,6,11,765.000000,70.875000,57.062500,31.200
19480084,0x6,0x1,32,2,138,8,14,733.125000,47.250000,36.312500,31.300
19480097,0x6,0x2,32,4,270,9,17,717.187500,26.578125,22.046875,31.300
19480116,0x6,0x3,32,8,534,10,22,709.218750,14.765625,14.265625,31.250
19480147,0x6,0x4,32,16,1060,13,30,703.906250,9.597656,9.726563,31.300
19480194,0x6,0x5,32,32,2112,20,47,701.250000,7.382813,7.619141,31.250
19480276,0x6,0x6,32,64,4219,33,84,700.419922,6.090820,6.808594,31.300
19480426,0x6,0x7,32,128,8435,59,156,700.170898,5.444824,6.322266,31.300
19480719,0x6,0x8,32,256,16850,111,298,699.340820,5.121826,6.038574,31.250
19481290,0x6,0x9,32,512,33667,216,585,698.656006,4.983398,5.927124,31.250
19482426,0x6,0xA,32,1024,65535,424,1157,679.989624,4.891113,5.861267,31.250
19484689,0x6,0xB,32,2048,65535,842,2302,339.994812,4.856506,5.830872,31.200
19489205,0x6,0xC,32,4096,65535,1676,4591,169.997406,4.833435,5.814407,31.200
19498227,0x6,0xD,32,8192,65535,3345,9169,84.998703,4.823341,5.806175,31.200
19516253,0x6,0xE,32,16384,65535,6681,18325,42.499352,4.816853,5.802059,31.200
19517266,0x5,0x0,64,1,143,12,22,759.687500,70.875000,57.062500,31.400
19517279,0x5,0x1,64,2,278,15,28,738.437500,44.296875,36.312500,31.100
19517293,0x5,0x2,64,4,543,17,34,721.171875,25.101563,22.046875,31.100
19517312,0x5,0x3,64,8,1073,21,43,712.539063,15.503906,13.941406,31.050
19517342,0x5,0x4,64,16,2130,26,58,707.226563,9.597656,9.402344,31.150
