millis,gain_hex,conv_hex,gain_x,conv_ms,uva_raw,uvb_raw,uvc_raw,uva_mw,uvb_mw,uvc_mw,temp_c
29136917,0xB,0x0,1,1,13,1,1,4420.000000,378.000000,166.000000,48.400
29136930,0xB,0x1,1,2,26,1,1,4420.000000,189.000000,83.000000,48.500
29136943,0xB,0x2,1,4,51,1,2,4335.000000,94.500000,83.000000,48.450
29136962,0xB,0x3,1,8,102,1,3,4335.000000,47.250000,62.250000,48.400
29136992,0xB,0x4,1,16,203,2,4,4313.750000,47.250000,41.500000,48.450
29137040,0xB,0x5,1,32,405,4,8,4303.125000,47.250000,41.500000,48.450
29137121,0xB,0x6,1,64,810,7,15,4303.125000,41.343750,38.906250,48.450
29137272,0xB,0x7,1,128,1617,13,29,4295.155762,38.390625,37.609375,48.400
29137565,0xB,0x8,1,256,3234,24,57,4295.155762,35.437500,36.960938,48.500
29138135,0xB,0x9,1,512,6463,48,114,4291.835938,35.437500,36.960938,48.500
29139273,0xB,0xA,1,1024,12922,96,227,4290.507813,35.437500,36.798828,48.500
29141536,0xB,0xB,1,2048,25844,191,452,4290.507813,35.252930,36.636719,48.550
29146044,0xB,0xC,1,4096,51643,381,903,4286.772461,35.160645,36.596191,48.650
29155055,0xB,0xD,1,8192,65535,760,1806,2719.958496,35.068359,36.596191,48.700
29173066,0xB,0xE,1,16384,65535,1520,3612,1359.979248,35.068359,36.596191,48.950
29174080,0xA,0x0,2,1,26,1,2,4420.000000,189.000000,166.000000,49.200
29174093,0xA,0x1,2,2,52,1,2,4420.000000,94.500000,83.000000,49.300
29174106,0xA,0x2,2,4,102,2,3,4335.000000,94.500000,62.250000,49.250
29174125,0xA,0x3,2,8,203,2,5,4313.750000,47.250000,51.875000,49.250
29174155,0xA,0x4,2,16,406,4,8,4313.750000,47.250000,41.500000,49.200
29174203,0xA,0x5,2,32,811,7,15,4308.437500,41.343750,38.906250,49.250
29174284,0xA,0x6,2,64,1621,13,30,4305.780762,38.390625,38.906250,49.250
29174434,0xA,0x7,2,128,3241,25,58,4304.453125,36.914063,37.609375,49.300
29174727,0xA,0x8,2,256,6481,49,115,4303.789063,36.175781,37.285156,49.250
29175300,0xA,0x9,2,512,12958,96,228,4302.460938,35.437500,36.960938,49.250
29176435,0xA,0xA,2,1024,25915,192,455,4302.294922,35.437500,36.879883,49.250
29178696,0xA,0xB,2,2048,51830,382,908,4302.294922,35.252930,36.798828,49.200
29183209,0xA,0xC,2,4096,65535,764,1815,2719.958496,35.252930,36.778561,49.200
29192222,0xA,0xD,2,8192,65535,1527,3629,1359.979248,35.229858,36.768433,49.250
29210232,0xA,0xE,2,16384,65535,3053,7257,679.989624,35.218323,36.763367,49.350
29211246,0x9,0x0,4,1,52,2,3,4420.000000,189.000000,124.500000,49.800
29211259,0x9,0x1,4,2,102,2,4,4335.000000,94.500000,83.000000,49.600
29211272,0x9,0x2,4,4,204,3,6,4335.000000,70.875000,62.250000,49.550
29211291,0x9,0x3,4,8,407,4,9,4324.375000,47.250000,46.687500,49.550
29211321,0x9,0x4,4,16,812,7,16,4313.750000,41.343750,41.500000,49.550
29211369,0x9,0x5,4,32,1623,13,30,4311.094238,38.390625,38.906250,49.600
29211450,0x9,0x6,4,64,3246,25,59,4311.094238,36.914063,38.257813,49.600
29211600,0x9,0x7,4,128,6489,49,116,4309.101563,36.175781,37.609375,49.550
29211893,0x9,0x8,4,256,12974,97,229,4307.773438,35.806641,37.123047,49.600
29212466,0x9,0x9,4,512,25953,192,456,4308.603516,35.437500,36.960938,49.550
29213602,0x9,0xA,4,1024,51908,383,911,4308.769531,35.345215,36.920410,49.600
29215862,0x9,0xB,4,2048,65535,764,1820,2719.958496,35.252930,36.879883,49.600
29220368,0x9,0xC,4,4096,65535,1526,3637,1359.979248,35.206791,36.849487,49.600
29229375,0x9,0xD,4,8192,65535,3051,7272,679.989624,35.195251,36.839355,49.700
29247374,0x9,0xE,4,16384,65535,6101,14542,339.994812,35.189484,36.834290,49.800
29248388,0x8,0x0,8,1,104,3,5,4420.000000,141.750000,103.750000,50.000
29248401,0x8,0x1,8,2,206,4,7,4377.500000,94.500000,72.625000,50.000
29248414,0x8,0x2,8,4,409,5,11,4345.625000,59.062500,57.062500,49.900
29248433,0x8,0x3,8,8,817,8,18,4340.312500,47.250000,46.687500,49.950
29248463,0x8,0x4,8,16,1631,14,32,4332.344238,41.343750,41.500000,49.900
29248511,0x8,0x5,8,32,3258,26,60,4327.030762,38.390625,38.906250,49.950
29248592,0x8,0x6,8,64,6514,50,118,4325.703125,36.914063,38.257813,49.900
29248743,0x8,0x7,8,128,13031,98,232,4326.699219,36.175781,37.609375,49.850
29249036,0x8,0x8,8,256,26070,194,460,4328.027344,35.806641,37.285156,49.950
29249607,0x8,0x9,8,512,52154,385,916,4329.189453,35.529785,37.123047,49.950
29250739,0x8,0xA,8,1024,65535,768,1829,2719.958496,35.437500,37.062260,49.950
29252998,0x8,0xB,8,2048,65535,1534,3655,1359.979248,35.391361,37.031860,49.950
29257503,0x8,0xC,8,4096,65535,3066,7306,679.989624,35.368286,37.011597,50.000
29266506,0x8,0xD,8,8192,65535,6130,14609,339.994812,35.356750,37.003998,49.900
29284498,0x8,0xE,8,16384,65535,12258,29214,169.997406,35.350983,36.998932,50.100
29285512,0x7,0x0,16,1,206,5,9,4377.500000,118.125000,93.375000,50.200
29285525,0x7,0x1,16,2,411,7,13,4366.875000,82.687500,67.437500,50.300
