millis,gain_hex,conv_hex,gain_x,conv_ms,uva_raw,uvb_raw,uvc_raw,uva_mw,uvb_mw,uvc_mw,temp_c
28689735,0xB,0x0,1,1,12,1,1,4080.000000,378.000000,166.000000,46.200
28689748,0xB,0x1,1,2,24,1,1,4080.000000,189.000000,83.000000,45.900
28689761,0xB,0x2,1,4,46,1,2,3910.000000,94.500000,83.000000,46.000
28689780,0xB,0x3,1,8,92,1,2,3910.000000,47.250000,41.500000,46.000
28689810,0xB,0x4,1,16,183,2,4,3888.750000,47.250000,41.500000,46.000
28689858,0xB,0x5,1,32,366,3,7,3888.750000,35.437500,36.312500,46.000
28689939,0xB,0x6,1,64,731,6,14,3883.437500,35.437500,36.312500,46.000
28690089,0xB,0x7,1,128,1461,11,26,3880.781250,32.484375,33.718750,46.050
28690382,0xB,0x8,1,256,2921,22,52,3879.452881,32.484375,33.718750,46.050
28690955,0xB,0x9,1,512,5840,43,103,3878.125000,31.746094,33.394531,46.050
28692093,0xB,0xA,1,1024,11675,86,205,3876.464844,31.746094,33.232422,46.050
28694352,0xB,0xB,1,2048,23338,171,409,3874.472656,31.561523,33.151367,46.200
28698863,0xB,0xC,1,4096,46647,342,818,3872.065430,31.561523,33.151367,46.300
28707876,0xB,0xD,1,8192,65535,683,1634,2719.958496,31.515381,33.110840,46.350
28725892,0xB,0xE,1,16384,65535,1366,3267,1359.979248,31.515381,33.100708,46.550
28726905,0xA,0x0,2,1,24,1,2,4080.000000,189.000000,166.000000,46.800
28726918,0xA,0x1,2,2,47,1,2,3995.000000,94.500000,83.000000,46.900
28726931,0xA,0x2,2,4,92,2,3,3910.000000,94.500000,62.250000,46.900
28726950,0xA,0x3,2,8,184,2,4,3910.000000,47.250000,41.500000,46.850
28726981,0xA,0x4,2,16,367,4,8,3899.375000,47.250000,41.500000,46.800
28727029,0xA,0x5,2,32,733,6,14,3894.062500,35.437500,36.312500,46.850
28727111,0xA,0x6,2,64,1465,12,27,3891.406250,35.437500,35.015625,46.850
28727261,0xA,0x7,2,128,2929,22,53,3890.077881,32.484375,34.367188,46.850
28727555,0xA,0x8,2,256,5856,44,104,3888.750000,32.484375,33.718750,46.800
28728127,0xA,0x9,2,512,11712,87,206,3888.750000,32.115234,33.394531,46.850
28729265,0xA,0xA,2,1024,23422,172,411,3888.417969,31.746094,33.313477,46.800
28731524,0xA,0xB,2,2048,46840,344,821,3888.085938,31.746094,33.272949,46.800
28736035,0xA,0xC,2,4096,65535,687,1642,2719.958496,31.699951,33.272949,46.850
28745050,0xA,0xD,2,8192,65535,1372,3283,1359.979248,31.653809,33.262817,46.900
28763073,0xA,0xE,2,16384,65535,2744,6564,679.989624,31.653809,33.252689,47.050
28764086,0x9,0x0,4,1,47,2,3,3995.000000,189.000000,124.500000,47.400
28764099,0x9,0x1,4,2,93,2,4,3952.500000,94.500000,83.000000,47.300
28764112,0x9,0x2,4,4,185,3,5,3931.250000,70.875000,51.875000,47.350
28764131,0x9,0x3,4,8,368,4,8,3910.000000,47.250000,41.500000,47.350
28764161,0x9,0x4,4,16,735,7,15,3904.687500,41.343750,38.906250,47.300
28764209,0x9,0x5,4,32,1468,12,28,3899.375000,35.437500,36.312500,47.300
28764291,0x9,0x6,4,64,2936,23,53,3899.375000,33.960938,34.367188,47.350
28764440,0x9,0x7,4,128,5867,44,105,3896.054688,32.484375,34.042969,47.350
28764733,0x9,0x8,4,256,11735,87,207,3896.386719,32.115234,33.556641,47.300
28765305,0x9,0x9,4,512,23466,173,413,3895.722656,31.930664,33.475586,47.300
28766442,0x9,0xA,4,1024,46944,344,824,3896.718750,31.746094,33.394531,47.200
28768700,0x9,0xB,4,2048,65535,687,1646,2719.958496,31.699951,33.354004,47.250
28773208,0x9,0xC,4,4096,65535,1372,3290,1359.979248,31.653809,33.333744,47.300
28782215,0x9,0xD,4,8192,65535,2743,6579,679.989624,31.642273,33.328674,47.400
28800219,0x9,0xE,4,16384,65535,5484,13154,339.994812,31.630739,33.318542,47.450
28801233,0x8,0x0,8,1,94,3,5,3995.000000,141.750000,103.750000,47.600
28801246,0x8,0x1,8,2,186,3,7,3952.500000,70.875000,72.625000,47.400
28801259,0x8,0x2,8,4,370,5,10,3931.250000,59.062500,51.875000,47.450
28801278,0x8,0x3,8,8,738,8,16,3920.625000,47.250000,41.500000,47.450
28801308,0x8,0x4,8,16,1473,13,29,3912.656250,38.390625,37.609375,47.450
28801356,0x8,0x5,8,32,2945,24,55,3911.327881,35.437500,35.664063,47.400
28801437,0x8,0x6,8,64,5888,45,107,3910.000000,33.222656,34.691406,47.450
28801588,0x8,0x7,8,128,11774,88,210,3909.335938,32.484375,34.042969,47.450
28801881,0x8,0x8,8,256,23546,174,416,3909.003906,32.115234,33.718750,47.450
28802453,0x8,0x9,8,512,47089,346,829,3908.754883,31.930664,33.597168,47.450
28803591,0x8,0xA,8,1024,65535,690,1654,2719.958496,31.838379,33.516113,47.450
28805848,0x8,0xB,8,2048,65535,1379,3306,1359.979248,31.815310,33.495853,47.350
28810356,0x8,0xC,8,4096,65535,2755,6608,679.989624,31.780701,33.475586,47.400
28819360,0x8,0xD,8,8192,65535,5509,13215,339.994812,31.774933,33.473053,47.450
28837364,0x8,0xE,8,16384,65535,11016,26424,169.997406,31.769163,33.465454,47.750
28838378,0x7,0x0,16,1,187,5,9,3973.750000,118.125000,93.375000,47.800
28838391,0x7,0x1,16,2,371,6,13,3941.875000,70.875000,67.437500,47.700
28838404,0x7,0x2,16,4,740,9,19,3931.250000,53.156250,49.281250,47.700
28838423,0x7,0x3,16,8,1475,15,32,3917.968750,44.296875,41.500000,47.700
28838453,0x7,0x4,16,16,2947,25,57,3913.984619,36.914063,36.960938,47.700
28838501,0x7,0x5,16,32,5890,46,109,3911.327881,33.960938,35.339844,47.650
28838582,0x7,0x6,16,64,11775,90,213,3909.667969,33.222656,34.529297,47.650
28838733,0x7,0x7,16,128,23546,176,419,3909.003906,32.484375,33.961914,47.650
28839026,0x7,0x8,16,256,47079,348,832,3907.924805,32.115234,33.718750,47.650
28839599,0x7,0x9,16,512,65535,692,1657,2719.958496,31.930664,33.576908,47.650
28840731,0x7,0xA,16,1024,65535,1381,3308,1359.979248,31.861448,33.516113,47.650
28842988,0x7,0xB,16,2048,65535,2759,6609,679.989624,31.826843,33.480652,47.650
28847496,0x7,0xC,16,4096,65535,5513,13211,339.994812,31.798004,33.462921,47.650
28856497,0x7,0xD,16,8192,65535,11023,26418,169.997406,31.789352,33.457855,47.800
28874491,0x7,0xE,16,16384,65535,22041,52827,84.998703,31.782143,33.452156,47.700
28875504,0x6,0x0,32,1,375,8,17,3984.375000,94.500000,88.187500,48.000
28875517,0x6,0x1,32,2,746,12,25,3963.125000,70.875000,64.843750,47.900
28875531,0x6,0x2,32,4,1484,18,38,3941.875000,53.156250,49.281250,47.850
28875549,0x6,0x3,32,8,2960,29,64,3931.250000,42.820313,41.500000,47.900
28875580,0x6,0x4,32,16,5914,49,114,3927.265381,36.175781,36.960938,47.800
28875627,0x6,0x5,32,32,11818,93,218,3923.945313,34.330078,35.339844,47.800
28875708,0x6,0x6,32,64,23625,180,427,3922.119141,33.222656,34.610352,47.850
28875858,0x6,0x7,32,128,47234,353,841,3920.791016,32.576660,34.083496,47.900
28876151,0x6,0x8,32,256,65535,698,1670,2719.958496,32.207520,33.840332,47.900
28876722,0x6,0x9,32,512,65535,1390,3328,1359.979248,32.069092,33.718750,47.850
28877859,0x6,0xA,32,1024,65535,2773,6643,679.989624,31.988342,33.652893,47.800
28880119,0x6,0xB,32,2048,65535,5539,13273,339.994812,31.947968,33.619965,47.900
28884629,0x6,0xC,32,4096,65535,11072,26536,169.997406,31.930664,33.607300,47.900
28893630,0x6,0xD,32,8192,65535,22138,53061,84.998703,31.922012,33.600334,47.950
28911625,0x6,0xE,32,16384,65535,44268,65535,42.499352,31.916245,20.749683,47.850
28912638,0x5,0x0,64,1,753,16,33,4000.312500,94.500000,85.593750,48.000
28912651,0x5,0x1,64,2,1496,24,50,3973.750000,70.875000,64.843750,47.900
28912665,0x5,0x2,64,4,2977,35,77,3953.827881,51.679688,49.929688,47.950
28912684,0x5,0x3,64,8,5938,57,128,3943.202881,42.082031,41.500000,48.000
28912714,0x5,0x4,64,16,11854,98,228,3935.898438,36.175781,36.960938,48.000
28912761,0x5,0x5,64,32,23691,186,439,3933.076172,34.330078,35.583008,47.950
28912843,0x5,0x6,64,64,47362,361,857,3931.416016,33.314941,34.731934,47.950
28912993,0x5,0x7,64,128,65535,708,1690,2719.958496,32.668945,34.245605,47.950
28913285,0x5,0x8,64,256,65535,1403,3356,1359.979248,32.369019,34.002441,48.000
28913858,0x5,0x9,64,512,65535,2792,6688,679.989624,32.207520,33.880859,48.000
28914994,0x5,0xA,64,1024,65535,5571,13351,339.994812,32.132538,33.817535,48.050
28917250,0x5,0xB,64,2048,65535,11130,26681,169.997406,32.097931,33.790939,48.150
28921757,0x5,0xC,64,4096,65535,22245,53334,84.998703,32.076302,33.773209,48.150
28930758,0x5,0xD,64,8192,65535,44478,65535,42.499352,32.067650,20.749683,48.050
28948751,0x5,0xE,64,16384,65535,65535,65535,21.249676,23.624640,10.374842,48.100
28949764,0x4,0x0,128,1,1023,33,66,2717.343750,97.453125,85.593750,48.000
28949778,0x4,0x1,128,2,2047,49,102,2718.672119,72.351563,66.140625,48.300
28949791,0x4,0x2,128,4,4095,72,156,2719.335938,53.156250,50.578125,48.150
28949810,0x4,0x3,128,8,8191,115,260,2719.667969,42.451172,42.148438,48.200
